popularity,original_title,cast,director,runtime,genres,production_companies,release_date,vote_count,vote_average,release_year,budget_adj,revenue_adj,release_month_name,release_month_num,release_quarter,profit,profit%
5.984995,Pixels,Adam Sandler|Michelle Monaghan|Peter Dinklage|Josh Gad|Kevin James,Chris Columbus,105,Action|Comedy|Science Fiction,Columbia Pictures|Happy Madison Productions,2015-07-16,1575,5.8,2015,80959964.3776156,224146025.095748,July,7,summer,143186060.7181324,63.8807048471941
5.944927,Avengers: Age of Ultron,Robert Downey Jr.|Chris Hemsworth|Mark Ruffalo|Chris Evans|Scarlett Johansson,Joss Whedon,141,Action|Adventure|Science Fiction,Marvel Studios|Prime Focus|Revolution Sun Studios,2015-04-22,4304,7.4,2015,257599886.656049,1292632336.88177,April,4,spring,1035032450.2257209,80.0716816912178
5.8984,The Hateful Eight,Samuel L. Jackson|Kurt Russell|Jennifer Jason Leigh|Walton Goggins|DemiÃ¡n Bichir,Quentin Tarantino,167,Crime|Drama|Mystery|Western,Double Feature Films|The Weinstein Company|FilmColony,2015-12-25,2389,7.4,2015,40479982.1888078,143299244.588332,December,12,winter,102819262.3995242,71.75143364844797
5.749758,Taken 3,Liam Neeson|Forest Whitaker|Maggie Grace|Famke Janssen|Dougray Scott,Olivier Megaton,109,Crime|Action|Thriller,Twentieth Century Fox Film Corporation|M6 Films|Canal+|EuropaCorp|CinÃ©+,2015-01-01,1578,6.1,2015,44159980.5696085,299709578.207785,January,1,winter,255549597.6381765,85.26574264537086
5.573184,Ant-Man,Paul Rudd|Michael Douglas|Evangeline Lilly|Corey Stoll|Bobby Cannavale,Peyton Reed,115,Science Fiction|Action|Adventure,Marvel Studios,2015-07-14,3779,7.0,2015,119599947.376023,477113780.029936,July,7,summer,357513832.653913,74.93261515764253
5.556818,Cinderella,Lily James|Cate Blanchett|Richard Madden|Helena Bonham Carter|Holliday Grainger,Kenneth Branagh,112,Romance|Fantasy|Family|Drama,Walt Disney Pictures|Genre Films|Beagle Pug Films|Allison Shearmur Productions,2015-03-12,1495,6.8,2015,87399961.5440169,498963025.216268,March,3,spring,411563063.6722511,82.4836797263415
5.476958,The Hunger Games: Mockingjay - Part 2,Jennifer Lawrence|Josh Hutcherson|Liam Hemsworth|Woody Harrelson|Elizabeth Banks,Francis Lawrence,136,War|Adventure|Science Fiction,Studio Babelsberg|StudioCanal|Lionsgate|Walt Disney Studios Motion Pictures|Color Force,2015-11-18,2380,6.5,2015,147199935.232028,598481289.508232,November,11,autumn,451281354.276204,75.40442152285476
5.462138,Tomorrowland,Britt Robertson|George Clooney|Raffey Cassidy|Thomas Robinson|Hugh Laurie,Brad Bird,130,Action|Family|Science Fiction|Adventure|Mystery,Walt Disney Pictures|Babieka|A113,2015-05-19,1899,6.2,2015,174799923.088033,192312729.942398,May,5,spring,17512806.85436502,9.106421015192547
5.337064,Southpaw,Jake Gyllenhaal|Rachel McAdams|Forest Whitaker|Oona Laurence|50 Cent,Antoine Fuqua,123,Action|Drama,Escape Artists|Riche-Ludwig Productions,2015-06-15,1386,7.3,2015,27599987.8560053,84373003.7158783,June,6,summer,56773015.859873,67.2881293299136
4.907832,San Andreas,Dwayne Johnson|Alexandra Daddario|Carla Gugino|Ioan Gruffudd|Archie Panjabi,Brad Peyton,114,Action|Drama|Thriller,New Line Cinema|Village Roadshow Pictures|Warner Bros.|Flynn Picture Company,2015-05-27,2060,6.1,2015,101199955.472019,432851374.985395,May,5,spring,331651419.513376,76.62016079412162
4.71040199999999,Fifty Shades of Grey,Dakota Johnson|Jamie Dornan|Jennifer Ehle|Eloise Mumford|Victor Rasuk,Sam Taylor-Johnson,125,Drama|Romance,Focus Features|Trigger Street Productions|Michael De Luca Productions,2015-02-11,1865,5.3,2015,36799983.8080071,524079119.045187,February,2,winter,487279135.2371799,92.97816255777323
4.648046,The Big Short,Christian Bale|Steve Carell|Ryan Gosling|Brad Pitt|Melissa Leo,Adam McKay,130,Comedy|Drama,Paramount Pictures|Plan B Entertainment|Regency Enterprises,2015-12-11,1545,7.3,2015,25759988.6656049,122678731.541358,December,12,winter,96918742.87575309,79.0020744900508
4.566713,Mission: Impossible - Rogue Nation,Tom Cruise|Jeremy Renner|Simon Pegg|Rebecca Ferguson|Ving Rhames,Christopher McQuarrie,131,Action,Paramount Pictures|Skydance Productions|China Movie Channel|Bad Robot|TC Productions,2015-07-23,2349,7.1,2015,137999939.280026,627743451.672881,July,7,summer,489743512.39285505,78.01650675729579
4.564549,Ted 2,Mark Wahlberg|Seth MacFarlane|Amanda Seyfried|Jessica Barth|Giovanni Ribisi,Seth MacFarlane,115,Comedy,Universal Pictures|Media Rights Capital|Fuzzy Door Productions,2015-06-25,1666,6.3,2015,62559972.4736121,198594430.13845,June,6,summer,136034457.6648379,68.49862685977726
4.503789,Kingsman: The Secret Service,Taron Egerton|Colin Firth|Samuel L. Jackson|Michael Caine|Mark Strong,Matthew Vaughn,130,Crime|Comedy|Action|Adventure,Twentieth Century Fox Film Corporation|Marv Films|TSG Entertainment|Cloudy Productions,2015-01-24,3833,7.6,2015,74519967.2112144,371497801.660967,January,1,winter,296977834.44975257,79.94067074474314
4.062293,Spotlight,Mark Ruffalo|Michael Keaton|Rachel McAdams|Liev Schreiber|John Slattery,Tom McCarthy,128,Drama|Thriller|History,Participant Media|Open Road Films|Anonymous Content|Rocklin / Faust|Entertainment One Features,2015-11-06,1559,7.8,2015,18399991.9040035,81278719.3973634,November,11,autumn,62878727.49335989,77.3618580110154
3.968891,Maze Runner: The Scorch Trials,Dylan O'Brien|Kaya Scodelario|Thomas Brodie-Sangster|Giancarlo Esposito|Aidan Gillen,Wes Ball,132,Action|Science Fiction|Thriller,Gotham Group|Temple Hill Entertainment|TSG Entertainment,2015-09-09,1849,6.4,2015,56119975.3072108,286356245.923251,September,9,autumn,230236270.61604017,80.40204252354529
3.927333,Mr. Holmes,Ian McKellen|Milo Parker|Laura Linney|Hattie Morahan|Patrick Kennedy,Bill Condon,103,Mystery|Drama,BBC Films|See-Saw Films|FilmNation Entertainment|Archer Gray|AI-Film,2015-06-19,425,6.4,2015,0.0,27006774.877019,June,6,summer,27006774.877019,100.0
3.899557,Chappie,Sharlto Copley|Dev Patel|Ninja|Yolandi Visser|Jose Pablo Cantillo,Neill Blomkamp,120,Crime|Action|Science Fiction,Columbia Pictures|Media Rights Capital|Sony Pictures Entertainment (SPE)|Alpha Core|Genre Films,2015-03-04,1990,6.6,2015,45079980.1648087,93903685.2423785,March,3,spring,48823705.077569805,51.99338551149405
3.877764,Pitch Perfect 2,Anna Kendrick|Rebel Wilson|Hailee Steinfeld|Brittany Snow|Skylar Astin,Elizabeth Banks,115,Comedy|Music,Universal Pictures|Gold Circle Films|Brownstone Productions,2015-05-07,1264,6.8,2015,26679988.2608051,264505582.097543,May,5,spring,237825593.8367379,89.91326079047882
3.64821,Bridge of Spies,Tom Hanks|Mark Rylance|Amy Ryan|Alan Alda|Sebastian Koch,Steven Spielberg,141,Thriller|Drama,DreamWorks SKG|Amblin Entertainment|Studio Babelsberg|Fox 2000 Pictures|Marc Platt Productions,2015-10-15,1638,7.1,2015,36799983.8080071,149601569.335309,October,10,autumn,112801585.52730191,75.4013383873497
3.644541,Goosebumps,Jack Black|Dylan Minnette|Odeya Rush|Amy Ryan|Jillian Bell,Rob Letterman,103,Adventure|Horror|Comedy,Columbia Pictures|Original Film|Scholastic Entertainment,2015-08-05,600,6.2,2015,53359976.5216103,138157089.01088,August,8,summer,84797112.4892697,61.37731555895177
3.557846,Room,Brie Larson|Jacob Tremblay|Joan Allen|Sean Bridgers|William H. Macy,Lenny Abrahamson,117,Drama|Thriller,Element Pictures|No Trace Camping|A24|Duperele Films,2015-10-16,1520,8.0,2015,5519997.57120106,32569603.0293746,October,10,autumn,27049605.45817354,83.0516891279806
3.358321,Solace,Abbie Cornish|Jeffrey Dean Morgan|Colin Farrell|Anthony Hopkins|Marley Shelton,Afonso Poyart,101,Crime|Drama|Mystery,Eden Rock Media|FilmNation Entertainment|Flynn Picture Company,2015-09-03,474,6.2,2015,0.0,20566197.1908732,September,9,autumn,20566197.1908732,100.0
3.339135,The Good Dinosaur,Raymond Ochoa|Jack Bright|Jeffrey Wright|Frances McDormand|Maleah Nipay-Padilla,Peter Sohn,93,Adventure|Animation|Comedy|Family|Fantasy,Walt Disney Pictures|Pixar Animation Studios|Buena Vista,2015-11-14,1087,6.6,2015,160999929.160031,305371920.876354,November,11,autumn,144371991.716323,47.27742855400895
3.23737,Run All Night,Liam Neeson|Ed Harris|Joel Kinnaman|Boyd Holbrook|Bruce McGill,Jaume Collet-Serra,114,Action|Crime|Drama|Mystery|Thriller,Vertigo Entertainment|Energy Entertainment|RatPac-Dune Entertainment,2015-03-11,814,6.3,2015,45999979.7600089,65836683.5118592,March,3,spring,19836703.7518503,30.13016861378976
3.227329,Brooklyn,Saoirse Ronan|Domhnall Gleeson|Emory Cohen|Emily Bett Rickards|Eileen O'Higgins,John Crowley,111,Drama|Romance,Wildgaze Films|Irish Film Board|Item 7|Parallel Film Productions,2015-11-04,754,7.3,2015,10119995.5472019,57110024.5915891,November,11,autumn,46990029.0443872,82.2798263184563
3.202719,Straight Outta Compton,O'Shea Jackson Jr.|Corey Hawkins|Jason Mitchell|Neil Brown Jr.|Aldis Hodge,F. Gary Gray,147,Drama|Music,New Line Cinema|Universal Pictures|Legendary Pictures|Cube Vision|Broken Chair Flickz,2015-08-13,918,7.7,2015,25759988.6656049,185504110.098191,August,8,summer,159744121.4325861,86.11352133816894
3.080505,The Last Witch Hunter,Vin Diesel|Rose Leslie|Michael Caine|Elijah Wood|Ã“lafur Darri Ã“lafsson,Breck Eisner,106,Fantasy|Action|Adventure,Summit Entertainment|Atmosphere Entertainment MM|One Race Films|Goldmann Pictures|NeoReel,2015-10-21,879,5.6,2015,82799963.568016,129164861.167461,October,10,autumn,46364897.599445,35.89590634819276
3.079522,Steve Jobs,Michael Fassbender|Kate Winslet|Seth Rogen|Katherine Waterston|Jeff Daniels,Danny Boyle,122,History|Drama,Universal Pictures|Scott Rudin Productions|Legendary Pictures|The Mark Gordon Company|Management 360,2015-10-09,1035,6.9,2015,27599987.8560053,31686509.2179359,October,10,autumn,4086521.3619306013,12.896723125365472
3.053421,The Man from U.N.C.L.E.,Henry Cavill|Armie Hammer|Alicia Vikander|Elizabeth Debicki|Luca Calvani,Guy Ritchie,116,Comedy|Action|Adventure,Davis Entertainment|Warner Bros.|Wigram Productions|RatPac-Dune Entertainment,2015-08-13,1548,7.0,2015,68999969.6400133,99493456.5028791,August,8,summer,30493486.86286579,30.648736042237495
3.025852,The Age of Adaline,Blake Lively|Michiel Huisman|Harrison Ford|Ellen Burstyn|Kathy Baker,Lee Toland Krieger,112,Fantasy|Drama|Romance,Lakeshore Entertainment|Sidney Kimmel Entertainment|Sierra/Affinity,2015-04-16,1221,7.3,2015,22999989.8800044,39219376.6634742,April,4,spring,16219386.783469804,41.35554453769594
3.023253,Hardcore Henry,Sharlto Copley|Haley Bennett|Danila Kozlovskiy|Tim Roth|Andrei Dementiev,Ilya Naishuller,97,Action|Adventure|Science Fiction,Bazelevs Production|Versus Pictures,2015-09-12,396,5.9,2015,9199995.95200178,13187080.9976843,September,9,autumn,3987085.0456825197,30.234780891864293
2.976436,Home,Jim Parsons|Rihanna|Steve Martin|Jennifer Lopez|Matt Jones,Tim Johnson,94,Fantasy|Comedy|Animation|Science Fiction|Family,Twentieth Century Fox Film Corporation|DreamWorks Animation,2015-03-18,1060,6.9,2015,124199945.352024,339361177.121082,March,3,spring,215161231.769058,63.40184036204287
2.968254,Paper Towns,Nat Wolff|Cara Delevingne|Halston Sage|Justice Smith|Austin Abrams,Jake Schreier,109,Drama|Mystery|Romance,Fox 2000 Pictures,2015-07-09,1252,6.2,2015,11039995.1424021,78671281.3846362,July,7,summer,67631286.2422341,85.96693107307375
2.93234,Wild Card,Jason Statham|Michael Angarano|Milo Ventimiglia|Dominik GarcÃ­a-Lorido|Anne Heche,Simon West,92,Thriller|Crime|Drama,Current Entertainment|Lionsgate|Sierra / Affinity|SJ Heat Productions|Silver State Production Services,2015-01-14,481,5.3,2015,27599987.8560053,0.0,January,1,winter,-27599987.8560053,-inf
2.885126,The Lobster,Colin Farrell|Rachel Weisz|LÃ©a Seydoux|John C. Reilly|Ben Whishaw,Yorgos Lanthimos,118,Thriller|Comedy|Drama|Romance|Science Fiction,Haut et Court|Eurimages|Lemming Film|Element Pictures|Nederlands Fonds voor de Film,2015-10-08,638,6.6,2015,3679998.38080071,8339346.45068756,October,10,autumn,4659348.06988685,55.8718611516937
2.883233,Carol,Cate Blanchett|Rooney Mara|Kyle Chandler|Sarah Paulson|Jake Lacy,Todd Haynes,118,Romance|Drama,Killer Films|Film4|Number 9 Films,2015-11-20,562,7.1,2015,10855995.2233621,37050347.8978469,November,11,autumn,26194352.6744848,70.69934335490282
2.814802,The Intern,Robert De Niro|Anne Hathaway|Rene Russo|Anders Holm|JoJo Kushner,Nancy Meyers,121,Comedy,Waverly Films|Warner Bros.,2015-09-24,1255,7.1,2015,32199985.8320062,178999419.480255,September,9,autumn,146799433.6482488,82.01112275922318
2.798017,Everest,Jason Clarke|Jake Gyllenhaal|Josh Brolin|John Hawkes|Sam Worthington,Baltasar KormÃ¡kur,121,Adventure|Drama,Universal Pictures|Working Title Films|Walden Media|Cross Creek Pictures|Free State Pictures,2015-09-10,1172,6.7,2015,50599977.7360098,187153294.93255,September,9,autumn,136553317.1965402,72.96335191200025
2.793297,Joy,Jennifer Lawrence|Bradley Cooper|Robert De Niro|Dascha Polanco|Edgar RamÃ­rez,David O. Russell,124,Comedy|Drama,Fox 2000 Pictures|Davis Entertainment|Annapurna Pictures|TSG Entertainment,2015-12-24,1001,6.4,2015,55199975.7120106,93043293.3409509,December,12,winter,37843317.62894031,40.67280538992317
2.614499,Point Break,Edgar RamÃ­rez|Luke Bracey|Teresa Palmer|Delroy Lindo|Ray Winstone,Ericson Core,114,Action|Crime|Thriller,Studio Babelsberg|Alcon Entertainment|DMG Entertainment|Ehman Productions,2015-12-03,505,5.5,2015,96599957.4960187,123021159.990689,December,12,winter,26421202.4946703,21.476957701154845
2.584264,Burnt,Bradley Cooper|Sienna Miller|Lily James|Alicia Vikander|Uma Thurman,John Wells,100,Drama,Double Feature Films|PeaPie Films|3 Arts Entertainment,2015-10-02,631,6.3,2015,18399991.9040035,33678188.7415969,October,10,autumn,15278196.837593399,45.365256887235326
2.578919,Self/less,Ryan Reynolds|Ben Kingsley|Natalie Martinez|Matthew Goode|Michelle Dockery,Tarsem Singh,116,Science Fiction|Mystery|Thriller,Endgame Entertainment|Ram Bergman Productions,2015-07-10,719,6.2,2015,23919989.4752046,28081355.5642035,July,7,summer,4161366.0889989026,14.818964417457014
2.575711,Mortdecai,Johnny Depp|Gwyneth Paltrow|Ewan McGregor|Paul Bettany|Olivia Munn,David Koepp,106,Comedy|Adventure,Lionsgate|Mad Chance|OddLot Entertainment|Huayi Brothers Media,2015-01-21,696,5.3,2015,55199975.7120106,27985062.8865723,January,1,winter,-27214912.8254383,-97.24799596036094
2.557859,The Danish Girl,Eddie Redmayne|Alicia Vikander|Matthias Schoenaerts|Amber Heard|Ben Whishaw,Tom Hooper,120,Drama,Pretty Pictures|Working Title Films|ArtÃ©mis Productions|Le Tax Shelter du Gouvernement FÃ©dÃ©ral de Belgique|Taxshelter. be,2015-11-27,867,7.3,2015,13799993.9280026,59056175.1752829,November,11,autumn,45256181.2472803,76.63242855291044
2.550747,Blackhat,Chris Hemsworth|Leehom Wang|Tang Wei|Viola Davis|Holt McCallany,Michael Mann,133,Mystery|Crime|Action|Thriller|Drama,Universal Pictures|Forward Pass|Legendary Pictures,2015-01-13,584,5.0,2015,64399971.6640124,16332697.613613,January,1,winter,-48067274.0503994,-294.30088762762756
2.487849,Sicario,Emily Blunt|Benicio del Toro|Josh Brolin|Victor Garber|Jon Bernthal,Denis Villeneuve,121,Action|Crime|Drama|Mystery|Thriller,Lionsgate|Thunder Road Pictures|Black Label Media,2015-09-17,1479,7.1,2015,27599987.8560053,77303716.7063646,September,9,autumn,49703728.850359306,64.29668710387773
2.487042,Fantastic Four,Miles Teller|Kate Mara|Michael B. Jordan|Jamie Bell|Toby Kebbell,Josh Trank,100,Action|Adventure|Science Fiction,Twentieth Century Fox Film Corporation|Marv Films|Marvel Entertainment|Constantin Film.|Moving Picture Company (MPC),2015-08-05,1565,4.4,2015,110399952.34402,154539320.322699,August,8,summer,44139367.978679016,28.56190119544336
2.46449,The Witch,Anya Taylor-Joy|Ralph Ineson|Kate Dickie|Harvey Scrimshaw|Ellie Grainger,Robert Eggers,92,Mystery|Horror,Parts and Labor|RT Features|Rooks Nest Entertainment|Maiden Voyage Pictures|Pulse Films,2015-03-24,700,5.8,2015,3219998.58320062,37190013.0363942,March,3,spring,33970014.45319358,91.34176538187948
2.404473,Spy,Melissa McCarthy|Jason Statham|Rose Byrne|Miranda Hart|Bobby Cannavale,Paul Feig,120,Action|Comedy|Crime,Twentieth Century Fox Film Corporation|Chernin Entertainment|Feigco Entertainment,2015-05-06,1840,6.9,2015,59799973.6880115,216812826.082356,May,5,spring,157012852.3943445,72.41861804555023
2.395366,Focus,Will Smith|Margot Robbie|Rodrigo Santoro|Robert Taylor|Gerald McRaney,Glenn Ficarra|John Requa,105,Romance|Comedy|Crime|Drama,Kramer & Sigman Films|RatPac-Dune Entertainment|Zaftig Films,2015-02-25,1831,6.7,2015,46091979.7195289,141645863.63582,February,2,winter,95553883.9162911,67.45970652695222
2.354654,Hitman: Agent 47,Rupert Friend|Zachary Quinto|Hannah Ware|Emilio Rivera|Rolf Kanies,Aleksander Bach,96,Action|Crime|Thriller,Twentieth Century Fox Film Corporation|Fox International Productions|Infinite Frameworks Studios|TSG Entertainment,2015-08-20,820,5.5,2015,32199985.8320062,75759810.1856835,August,8,summer,43559824.3536773,57.49727229637238
2.345821,In the Heart of the Sea,Chris Hemsworth|Benjamin Walker|Cillian Murphy|Brendan Gleeson|Ben Whishaw,Ron Howard,122,Thriller|Drama|Adventure|Action|History,Imagine Entertainment|Spring Creek Productions|Warner Bros.|Roth Films|K. JAM Media,2015-11-20,805,6.4,2015,91999959.5200178,86315059.3813738,November,11,autumn,-5684900.13864401,-6.586220503569246
2.331636,Survivor,Pierce Brosnan|Milla Jovovich|Dylan McDermott|Angela Bassett|Robert Forster,James McTeigue,96,Crime|Thriller|Action,Nu Image Films|Winkler Films|Millennium Films|Survivor Productions,2015-05-21,280,5.4,2015,18399991.9040035,0.0,May,5,spring,-18399991.9040035,-inf
2.331567,Creed,Michael B. Jordan|Sylvester Stallone|Graham McTavish|Tessa Thompson|Phylicia RashÄd,Ryan Coogler,133,Drama,New Line Cinema|Warner Bros.|Metro-Goldwyn-Mayer (MGM)|Chartoff-Winkler Productions,2015-11-25,1171,7.3,2015,32199985.8320062,126900665.803707,November,11,autumn,94700679.9717008,74.62583381413151
2.31767,Trainwreck,Amy Schumer|Bill Hader|Brie Larson|Colin Quinn|Vanessa Bayer,Judd Apatow,125,Comedy,Universal Pictures|Fuji Television Network|Dentsu|Apatow Productions,2015-07-17,849,6.1,2015,32199985.8320062,129532072.565888,July,7,summer,97332086.7338818,75.14130269503153
2.29573,Eye in the Sky,Helen Mirren|Aaron Paul|Alan Rickman|Iain Glen|Barkhad Abdi,Gavin Hood,102,Drama|Thriller|War,Entertainment One|Moonlighting Films|Raindog Films,2015-09-11,265,7.2,2015,11959994.7376023,30220316.9030605,September,9,autumn,18260322.165458202,60.423992984696085
2.28135,Legend,Tom Hardy|Emily Browning|Christopher Eccleston|David Thewlis|Taron Egerton,Brian Helgeland,131,Crime|Thriller,Working Title Films|Cross Creek Pictures|Anton Capital Entertainment (ACE),2015-09-09,619,6.7,2015,22999989.8800044,39535137.0845396,September,9,autumn,16535147.204535201,41.82392783709696
2.272044,Beyond the Reach,Michael Douglas|Jeremy Irvine|Hanna Mangan Lawrence|Ronny Cox|Martin Palmer,Jean-Baptiste LÃ©onetti,95,Thriller,Furthur Films,2015-04-17,81,5.5,2015,0.0,42223.3814217121,April,4,spring,42223.3814217121,100.0
2.234573,Pan,Levi Miller|Garrett Hedlund|Hugh Jackman|Rooney Mara|Amanda Seyfried,Joe Wright,111,Adventure|Family|Fantasy,Warner Bros.|Moving Picture Company (MPC)|Berlanti Productions|RatPac-Dune Entertainment,2015-09-24,586,5.9,2015,137999939.280026,118117202.42843,September,9,autumn,-19882736.851595983,-16.83305771116904
2.165433,Mythica: The Darkspore,Melanie Stone|Kevin Sorbo|Adam Johnson|Jake Stormoen|Rocky Myers,Anne K. Black,108,Action|Adventure|Fantasy,Arrowstorm Entertainment,2015-06-24,27,5.1,2015,0.0,0.0,June,6,summer,0.0,0.0
2.141506,Me and Earl and the Dying Girl,Thomas Mann|RJ Cyler|Olivia Cooke|Connie Britton|Nick Offerman,Alfonso Gomez-Rejon,105,Comedy|Drama,Indian Paintbrush,2015-06-12,569,7.7,2015,0.0,0.0,June,6,summer,0.0,0.0
2.140199,The Peanuts Movie,Noah Schnapp|Bill Melendez|Venus Schultheis|Hadley Belle Miller|Madisyn Shipman,Steve Martino,88,Adventure|Animation|Comedy|Family,Blue Sky Studios|Twentieth Century Fox Animation|Feigco Entertainment,2015-11-05,414,6.4,2015,91079959.9248176,226534364.284879,November,11,autumn,135454404.3600614,59.79419713545989
2.121884,Concussion,Will Smith|Bitsie Tulloch|Gugu Mbatha-Raw|Alec Baldwin|Matthew Willig,Peter Landesman,123,Drama,Village Roadshow Pictures|Scott Free Productions|LStar Capital|The Cantillon Company|The Shuman Company,2015-11-12,500,6.9,2015,32199985.8320062,44733666.5571867,November,11,autumn,12533680.7251805,28.01845162671312
2.096273,The Night Before,Joseph Gordon-Levitt|Seth Rogen|Anthony Mackie|Lizzy Caplan|Jillian Bell,Jonathan Levine,100,Comedy,Sony Pictures|Point Grey Pictures|Good Universe,2015-11-20,363,6.1,2015,22999989.8800044,48204295.1101101,November,11,autumn,25204305.230105698,52.28643043640211
2.080935,Knock Knock,Keanu Reeves|Lorenza Izzo|Ana de Armas|Aaron Burns|Colleen Camp,Eli Roth,99,Drama|Horror|Thriller,Universum Film (UFA)|Dragonfly Entertainment|Black Bear Pictures|Square One Entertainment|Sobras International Pictures,2015-06-26,473,4.8,2015,2299998.98800044,4796917.44935632,June,6,summer,2496918.4613558804,52.05256266586227
2.070708,The Longest Ride,Scott Eastwood|Britt Robertson|Lolita Davidovich|Melissa Benoist|Jack Huston,"George Tillman, Jr.",128,Romance|Drama,Fox 2000 Pictures|Temple Hill Entertainment,2015-04-09,711,7.3,2015,31279986.236806,57972193.012235,April,4,spring,26692206.775429,46.04312065578686
2.060162,Hotel Transylvania 2,Adam Sandler|Andy Samberg|Selena Gomez|Kevin James|Steve Buscemi,Genndy Tartakovsky,89,Animation|Comedy|Family,Columbia Pictures|Sony Pictures Animation,2015-09-21,919,6.8,2015,73599967.6160142,428888671.768984,September,9,autumn,355288704.15296984,82.83937710165075
